commentCount,dislikeCount,likeCount,viewCount,commentators_uniq,comments_obscene_cnt,video_age,performer,title,music_style
638.0,1908.0,20740.0,7384538.0,322.0,7.0,962,2маши,#2Маши - Мы выбираем (клип),popsa
879.0,443.0,10949.0,2511807.0,775.0,4.0,734,2маши,"#2Маши - Стервы (Премьера клипа, 2017)",popsa
125.0,88.0,2235.0,131633.0,88.0,2.0,202,2маши,#2Маши - Факты [ AUDIO ],popsa
20.0,4.0,430.0,23639.0,11.0,0.0,681,2маши,"#2Маши - как мы записывали ""Звезды""",popsa
9.0,5.0,125.0,10372.0,7.0,0.0,486,2маши,#2Маши - сюжет RUTV о концерте в ИЗВЕСТИЯ Hall,popsa
0.0,1.0,18.0,1446.0,,,875,2маши,#2Маши 4 ноября в RED,popsa
3.0,2.0,87.0,3650.0,1.0,0.0,822,2маши,#2Маши Mannequin Challenge,popsa
28.0,12.0,469.0,20032.0,26.0,0.0,386,2маши,#2Маши «Время» (Acoustic LIVE),popsa
263.0,165.0,4896.0,647499.0,173.0,0.0,196,2маши,#2Маши «Звёзды» [ прогулка по Бурано•Италия],popsa
74.0,63.0,1420.0,96969.0,64.0,1.0,211,2маши,#2Маши «Рижский влог»,popsa
173.0,160.0,6678.0,1109048.0,124.0,1.0,498,2маши,#2Маши «Сезоны» [ Lyric Video ],popsa
19.0,9.0,312.0,20908.0,19.0,0.0,552,2маши,#2Маши Время [AUDIO],popsa
14.0,6.0,232.0,14570.0,9.0,0.0,945,2маши,#2Маши Квартирник,popsa
1.0,4.0,60.0,3996.0,1.0,0.0,1030,2маши,"#2Маши МАЯК ""Теперь нас двое""",popsa
799.0,411.0,14206.0,819273.0,456.0,4.0,336,2маши,"#2Маши НА КУХНЕ ""Красное - Белое""",popsa
3830.0,2244.0,58381.0,2655554.0,936.0,42.0,596,2маши,"#2Маши НА КУХНЕ ""Босая""",popsa
262.0,78.0,5504.0,206515.0,167.0,3.0,591,2маши,"#2Маши НА КУХНЕ ""ЗВЕЗДЫ""",popsa
6.0,1.0,72.0,2931.0,4.0,0.0,1033,2маши,#2Маши Радио Маяк,popsa
2.0,3.0,57.0,5543.0,1.0,0.0,979,2маши,"#2Маши СЮЖЕТ RUSSIANMUSICBOX со съемок клипа ""Мы выбираем""",popsa
66.0,26.0,1426.0,56721.0,43.0,0.0,453,2маши,#2Маши на кухне «Тут тебя жду тебя я»,popsa
16.0,25.0,586.0,81163.0,14.0,0.0,1041,2маши,#2Маши.Концерт в 16Тонн.Презентация альбома.Репортаж RussianMusicBox,popsa
1.0,1.0,52.0,2783.0,1.0,0.0,888,2маши,"#Маши ""Тут тебя жду тебя я"" ТИЗЕР",popsa
46.0,17.0,557.0,33536.0,31.0,0.0,219,2маши,13 октября 2018 !#2Маши Большой сольный концерт !!,popsa
